imovel_Id;tipoImovel;valorImovel;areaRealPrivativa;latitude;longitude;quartos;banho;suites;vagaGaragem;valorCondominio;valorIptu;Cidade;Regiao;Bairro;Endereco
3238575;Apartamento 3 quartos;350000;85;-19,870365;-43,99441;3;2;1;2;290;110;belo-horizonte;pampulha;Castelo;Rua Maria C�ndida de Jesus, 446
3258991;Apartamento 3 quartos;350000;120;-19,9666765;-43,9731331;3;3;1;2;350;135,46;belo-horizonte;oeste;Buritis;Rua Paulo Diniz Carneiro, 469
3264333;�rea Privativa;350000;84;-19,88115;-43,9984972;2;1;1;2;180;72;belo-horizonte;pampulha;Castelo;Rua Castelo de Abrantes, 421
26712;Apartamento 2 quartos;355000;65;-19,8797206;-43,9204145;2;2;1;2;257,27;89,06;belo-horizonte;leste;Cidade Nova;Rua Walace, 269
26715;Apartamento 2 quartos;355000;65;-19,8797206;-43,9204145;2;2;1;2;257,27;89,36;belo-horizonte;leste;Cidade Nova;Rua Walace, 269
346970;Apartamento 3 quartos;358000;70;-19,87263;-43,990981;3;2;1;2;400;100;belo-horizonte;pampulha;Ouro Preto;Rua Jos� Ribeiro Filho, 35
3261617;Cobertura;360000;140;-19,8725256;-43,9212764;3;2;1;2;590;125;belo-horizonte;nordeste;Fern�o Dias;Rua Aiuruoca, 25
342824;Apartamento 3 quartos;365000;84;-19,9193451;-43,9871339;3;2;1;2;294;83,05;belo-horizonte;noroeste;Padre Eust�quio;Rua Dona Ana, 121
9054;Casa;370000;200;-19,8935674;-43,9387782;3;2;1;3;0;290;belo-horizonte;nordeste;Conc�rdia;Rua Jequiri��, 429
338392;Cobertura;370000;140;-19,80961423;-43,98270757;2;2;0;2;130;100;belo-horizonte;venda-nova;Let�cia;Rua Em�dio Furtado, 447
3242192;Apartamento 3 quartos;370000;73;-19,9261641;-43,9924385;3;2;1;1;290;111;belo-horizonte;noroeste;Cora��o Eucar�stico;Rua Dom Aristides Porto, 124
3246535;Apartamento 3 quartos;370000;87;-19,955178;-43,938393;3;2;1;2;280;145,58;belo-horizonte;centro-sul;Sion;Rua Costa Rica, 232
3269525;Cobertura;370000;103;0;0;3;2;1;2;250;100;belo-horizonte;nordeste;S�o Paulo;Rua Perdig�o, 71
348001;Apartamento 3 quartos;380000;62;-19,9134029;-43,9205689;3;2;0;2;440;117,83;belo-horizonte;leste;Floresta;Rua Anhang�era, 95
3261376;Apartamento 3 quartos;380000;84;-19,8880457;-43,9249093;3;2;1;2;260;120;belo-horizonte;leste;Cidade Nova;Avenida Doutor J�lio Otaviano Ferreira, 267
366172;Apartamento 3 quartos;385000;110;-19,9252892;-43,9664498;3;2;1;1;220;93,5;belo-horizonte;oeste;Prado;Rua Conselheiro Dantas, 82
